fecha,lunes,martes,miercoles,jueves,viernes,sabado,domingo
23/10/2023,16,0,0,0,0,0,0
24/10/2023,0,29,0,0,0,0,0
25/10/2023,0,0,34,0,0,0,0
26/10/2023,0,0,0,40,0,0,0
27/10/2023,0,0,0,0,41,0,0
28/10/2023,0,0,0,0,0,33,0
29/10/2023,0,0,0,0,0,0,61
30/10/2023,26,0,0,0,0,0,0
31/10/2023,0,42,0,0,0,0,0
1/11/2023,0,0,48,0,0,0,0
2/11/2023,0,0,0,39,0,0,0
3/11/2023,0,0,0,0,47,0,0
4/11/2023,0,0,0,0,0,47,0
5/11/2023,0,0,0,0,0,0,38
6/11/2023,34,0,0,0,0,0,0
7/11/2023,0,46,0,0,0,0,0
8/11/2023,0,0,42,0,0,0,0
9/11/2023,0,0,0,40,0,0,0
10/11/2023,0,0,0,0,45,0,0
11/11/2023,0,0,0,0,0,43,0
12/11/2023,0,0,0,0,0,0,24
13/11/2023,42,0,0,0,0,0,0
14/11/2023,0,47,0,0,0,0,0
15/11/2023,0,0,73,0,0,0,0
16/11/2023,0,0,0,45,0,0,0
17/11/2023,0,0,0,0,49,0,0
18/11/2023,0,0,0,0,0,66,0
19/11/2023,0,0,0,0,0,0,46
20/11/2023,49,0,0,0,0,0,0
21/11/2023,0,47,0,0,0,0,0
22/11/2023,0,0,72,0,0,0,0
23/11/2023,0,0,0,49,0,0,0
24/11/2023,0,0,0,0,48,0,0
25/11/2023,0,0,0,0,0,34,0
26/11/2023,0,0,0,0,0,0,31
27/11/2023,53,0,0,0,0,0,0
28/11/2023,0,65,0,0,0,0,0
29/11/2023,0,0,76,0,0,0,0
30/11/2023,0,0,0,46,0,0,0
1/12/2023,0,0,0,0,60,0,0
2/12/2023,0,0,0,0,0,32,0
3/12/2023,0,0,0,0,0,0,46
4/12/2023,35,0,0,0,0,0,0
5/12/2023,0,39,0,0,0,0,0
6/12/2023,0,0,33,0,0,0,0
7/12/2023,0,0,0,29,0,0,0
8/12/2023,0,0,0,0,42,0,0
9/12/2023,0,0,0,0,0,42,0
10/12/2023,0,0,0,0,0,0,47
11/12/2023,32,0,0,0,0,0,0
12/12/2023,0,39,0,0,0,0,0
13/12/2023,0,0,33,0,0,0,0
14/12/2023,0,0,0,50,0,0,0
15/12/2023,0,0,0,0,36,0,0
16/12/2023,0,0,0,0,0,52,0
17/12/2023,0,0,0,0,0,0,36
18/12/2023,29,0,0,0,0,0,0
19/12/2023,0,43,0,0,0,0,0
20/12/2023,0,0,44,0,0,0,0
21/12/2023,0,0,0,58,0,0,0
22/12/2023,0,0,0,0,39,0,0
23/12/2023,0,0,0,0,0,34,0
24/12/2023,0,0,0,0,0,0,9
25/12/2023,19,0,0,0,0,0,0
26/12/2023,0,43,0,0,0,0,0
27/12/2023,0,0,43,0,0,0,0
28/12/2023,0,0,0,71,0,0,0
29/12/2023,0,0,0,0,35,0,0
30/12/2023,0,0,0,0,0,50,0
31/12/2023,0,0,0,0,0,0,40
1/01/2024,47,0,0,0,0,0,0
2/01/2024,0,38,0,0,0,0,0
3/01/2024,0,0,58,0,0,0,0
4/01/2024,0,0,0,54,0,0,0
5/01/2024,0,0,0,0,30,0,0
6/01/2024,0,0,0,0,0,39,0
7/01/2024,0,0,0,0,0,0,23
8/01/2024,33,0,0,0,0,0,0
9/01/2024,0,32,0,0,0,0,0
10/01/2024,0,0,71,0,0,0,0
11/01/2024,0,0,0,65,0,0,0
12/01/2024,0,0,0,0,39,0,0
13/01/2024,0,0,0,0,0,37,0
14/01/2024,0,0,0,0,0,0,37
15/01/2024,47,0,0,0,0,0,0
16/01/2024,0,43,0,0,0,0,0
17/01/2024,0,0,34,0,0,0,0
18/01/2024,0,0,0,24,0,0,0
19/01/2024,0,0,0,0,68,0,0
20/01/2024,0,0,0,0,0,48,0
21/01/2024,0,0,0,0,0,0,36
22/01/2024,29,0,0,0,0,0,0
23/01/2024,0,79,0,0,0,0,0
24/01/2024,0,0,41,0,0,0,0
25/01/2024,0,0,0,39,0,0,0
26/01/2024,0,0,0,0,28,0,0
27/01/2024,0,0,0,0,0,35,0
28/01/2024,0,0,0,0,0,0,30
29/01/2024,53,0,0,0,0,0,0
30/01/2024,0,51,0,0,0,0,0
31/01/2024,0,0,60,0,0,0,0
1/02/2024,0,0,0,58,0,0,0
2/02/2024,0,0,0,0,50,0,0
3/02/2024,0,0,0,0,0,56,0
4/02/2024,0,0,0,0,0,0,50
5/02/2024,37,0,0,0,0,0,0
6/02/2024,0,48,0,0,0,0,0
7/02/2024,0,0,38,0,0,0,0
8/02/2024,0,0,0,66,0,0,0
9/02/2024,0,0,0,0,33,0,0
10/02/2024,0,0,0,0,0,49,0
11/02/2024,0,0,0,0,0,0,49
12/02/2024,29,0,0,0,0,0,0
13/02/2024,0,25,0,0,0,0,0
14/02/2024,0,0,32,0,0,0,0
15/02/2024,0,0,0,32,0,0,0
16/02/2024,0,0,0,0,26,0,0
17/02/2024,0,0,0,0,0,47,0
18/02/2024,0,0,0,0,0,0,27
19/02/2024,40,0,0,0,0,0,0
20/02/2024,0,55,0,0,0,0,0
21/02/2024,0,0,55,0,0,0,0
22/02/2024,0,0,0,50,0,0,0
23/02/2024,0,0,0,0,37,0,0
24/02/2024,0,0,0,0,0,60,0
25/02/2024,0,0,0,0,0,0,45
26/02/2024,42,0,0,0,0,0,0
27/02/2024,0,45,0,0,0,0,0
28/02/2024,0,0,43,0,0,0,0
29/02/2024,0,0,0,50,0,0,0
1/03/2024,0,0,0,0,60,0,0
2/03/2024,0,0,0,0,0,49,0
3/03/2024,0,0,0,0,0,0,43
4/03/2024,41,0,0,0,0,0,0
5/03/2024,0,48,0,0,0,0,0
6/03/2024,0,0,35,0,0,0,0
7/03/2024,0,0,0,48,0,0,0
8/03/2024,0,0,0,0,42,0,0
9/03/2024,0,0,0,0,0,67,0
10/03/2024,0,0,0,0,0,0,44
11/03/2024,43,0,0,0,0,0,0
12/03/2024,0,31,0,0,0,0,0
13/03/2024,0,0,57,0,0,0,0
14/03/2024,0,0,0,66,0,0,0
15/03/2024,0,0,0,0,68,0,0
16/03/2024,0,0,0,0,0,59,0
17/03/2024,0,0,0,0,0,0,46
18/03/2024,26,0,0,0,0,0,0
19/03/2024,0,47,0,0,0,0,0
20/03/2024,0,0,26,0,0,0,0
21/03/2024,0,0,0,45,0,0,0
22/03/2024,0,0,0,0,61,0,0
23/03/2024,0,0,0,0,0,42,0
24/03/2024,0,0,0,0,0,0,47
25/03/2024,29,0,0,0,0,0,0
26/03/2024,0,34,0,0,0,0,0
27/03/2024,0,0,55,0,0,0,0
28/03/2024,0,0,0,50,0,0,0
29/03/2024,0,0,0,0,34,0,0
30/03/2024,0,0,0,0,0,45,0
31/03/2024,0,0,0,0,0,0,37
1/04/2024,21,0,0,0,0,0,0
2/04/2024,0,42,0,0,0,0,0
3/04/2024,0,0,43,0,0,0,0
4/04/2024,0,0,0,49,0,0,0
5/04/2024,0,0,0,0,47,0,0
6/04/2024,0,0,0,0,0,32,0
7/04/2024,0,0,0,0,0,0,35
8/04/2024,34,0,0,0,0,0,0
9/04/2024,0,36,0,0,0,0,0
10/04/2024,0,0,33,0,0,0,0
11/04/2024,0,0,0,32,0,0,0
12/04/2024,0,0,0,0,35,0,0
13/04/2024,0,0,0,0,0,37,0
14/04/2024,0,0,0,0,0,0,31
15/04/2024,28,0,0,0,0,0,0
16/04/2024,0,37,0,0,0,0,0
17/04/2024,0,0,27,0,0,0,0
18/04/2024,0,0,0,38,0,0,0
19/04/2024,0,0,0,0,38,0,0
20/04/2024,0,0,0,0,0,46,0
21/04/2024,0,0,0,0,0,0,26
22/04/2024,32,0,0,0,0,0,0
23/04/2024,0,47,0,0,0,0,0
24/04/2024,0,0,32,0,0,0,0
25/04/2024,0,0,0,35,0,0,0
26/04/2024,0,0,0,0,52,0,0
27/04/2024,0,0,0,0,0,31,0
28/04/2024,0,0,0,0,0,0,48
29/04/2024,45,0,0,0,0,0,0
30/04/2024,0,69,0,0,0,0,0
1/05/2024,0,0,43,0,0,0,0
2/05/2024,0,0,0,46,0,0,0
3/05/2024,0,0,0,0,41,0,0
4/05/2024,0,0,0,0,0,49,0
5/05/2024,0,0,0,0,0,0,43
6/05/2024,42,0,0,0,0,0,0
7/05/2024,0,53,0,0,0,0,0
8/05/2024,0,0,56,0,0,0,0
9/05/2024,0,0,0,56,0,0,0
10/05/2024,0,0,0,0,35,0,0
11/05/2024,0,0,0,0,0,33,0
12/05/2024,0,0,0,0,0,0,46
13/05/2024,57,0,0,0,0,0,0
14/05/2024,0,30,0,0,0,0,0
15/05/2024,0,0,41,0,0,0,0
16/05/2024,0,0,0,33,0,0,0
17/05/2024,0,0,0,0,45,0,0
18/05/2024,0,0,0,0,0,43,0
19/05/2024,0,0,0,0,0,0,51
20/05/2024,32,0,0,0,0,0,0
21/05/2024,0,59,0,0,0,0,0
22/05/2024,0,0,58,0,0,0,0
23/05/2024,0,0,0,55,0,0,0
24/05/2024,0,0,0,0,36,0,0
25/05/2024,0,0,0,0,0,44,0
26/05/2024,0,0,0,0,0,0,56
27/05/2024,40,0,0,0,0,0,0
28/05/2024,0,46,0,0,0,0,0
29/05/2024,0,0,65,0,0,0,0
30/05/2024,0,0,0,60,0,0,0
31/05/2024,0,0,0,0,102,0,0
1/06/2024,0,0,0,0,0,57,0
2/06/2024,0,0,0,0,0,0,56
3/06/2024,43,0,0,0,0,0,0
4/06/2024,0,41,0,0,0,0,0
5/06/2024,0,0,68,0,0,0,0
6/06/2024,0,0,0,44,0,0,0
7/06/2024,0,0,0,0,33,0,0
8/06/2024,0,0,0,0,0,35,0
9/06/2024,0,0,0,0,0,0,43
10/06/2024,55,0,0,0,0,0,0
11/06/2024,0,43,0,0,0,0,0
12/06/2024,0,0,38,0,0,0,0
13/06/2024,0,0,0,42,0,0,0
14/06/2024,0,0,0,0,38,0,0
15/06/2024,0,0,0,0,0,44,0
16/06/2024,0,0,0,0,0,0,29
17/06/2024,39,0,0,0,0,0,0
18/06/2024,0,70,0,0,0,0,0
19/06/2024,0,0,49,0,0,0,0
20/06/2024,0,0,0,64,0,0,0
21/06/2024,0,0,0,0,47,0,0
22/06/2024,0,0,0,0,0,39,0
23/06/2024,0,0,0,0,0,0,44
24/06/2024,57,0,0,0,0,0,0
25/06/2024,0,40,0,0,0,0,0
26/06/2024,0,0,30,0,0,0,0
27/06/2024,0,0,0,70,0,0,0
28/06/2024,0,0,0,0,45,0,0
29/06/2024,0,0,0,0,0,26,0
30/06/2024,0,0,0,0,0,0,31
1/07/2024,41,0,0,0,0,0,0
2/07/2024,0,26,0,0,0,0,0
3/07/2024,0,0,53,0,0,0,0
4/07/2024,0,0,0,46,0,0,0
5/07/2024,0,0,0,0,47,0,0
6/07/2024,0,0,0,0,0,46,0
7/07/2024,0,0,0,0,0,0,41
8/07/2024,100,0,0,0,0,0,0
9/07/2024,0,58,0,0,0,0,0
10/07/2024,0,0,66,0,0,0,0
11/07/2024,0,0,0,106,0,0,0
12/07/2024,0,0,0,0,49,0,0
